日期,阅读次数,阅读人数,分享次数,分享人数,阅读原文次数,阅读原文人数,收藏次数,收藏人数,群发篇数
2020-04-10,18,14,0,0,0,0,0,0,0
2020-04-11,14,12,0,0,0,0,0,0,0
2020-04-12,16,12,2,2,0,0,0,0,0
2020-04-13,42,27,10,7,0,0,0,0,0
2020-04-14,12,9,0,0,0,0,0,0,0
2020-04-15,28,21,0,0,0,0,0,0,0
2020-04-16,28,20,2,2,0,0,0,0,0
2020-04-17,12,12,0,0,0,0,0,0,0
2020-04-18,6,5,0,0,0,0,0,0,0
2020-04-19,18,12,0,0,0,0,0,0,0
2020-04-20,38,24,0,0,0,0,0,0,0
2020-04-21,18,17,0,0,0,0,0,0,0
2020-04-22,26,26,0,0,0,0,0,0,0
2020-04-23,8,6,0,0,0,0,0,0,0
2020-04-24,20,20,0,0,0,0,0,0,0
2020-04-25,8,8,0,0,0,0,0,0,0
2020-04-26,10,10,0,0,0,0,0,0,0
2020-04-27,20,12,2,2,0,0,0,0,0
2020-04-28,6,6,0,0,0,0,0,0,0
2020-04-29,40,26,0,0,0,0,2,2,0
2020-04-30,70,46,8,5,0,0,0,0,0
2020-05-01,10,10,0,0,0,0,0,0,0
2020-05-02,6,6,0,0,0,0,0,0,0
2020-05-03,12,10,0,0,0,0,0,0,0
2020-05-04,28,20,0,0,0,0,0,0,0
2020-05-05,4,4,0,0,0,0,0,0,0
2020-05-06,38,25,0,0,0,0,0,0,0
2020-05-07,18,16,0,0,0,0,0,0,0
2020-05-08,16,16,0,0,0,0,0,0,0
2020-05-09,20,16,0,0,0,0,0,0,0
2020-05-10,28,23,2,2,0,0,0,0,0
2020-05-11,24,21,0,0,0,0,0,0,0
2020-05-12,36,17,0,0,0,0,0,0,0
2020-05-13,18,16,0,0,0,0,0,0,0
2020-05-14,22,13,0,0,0,0,0,0,0
2020-05-15,32,25,0,0,0,0,0,0,0
2020-05-16,16,16,0,0,0,0,0,0,0
2020-05-17,42,15,4,2,0,0,0,0,0
2020-05-18,20,18,0,0,0,0,0,0,0
2020-05-19,18,17,0,0,0,0,0,0,0
2020-05-20,38,20,0,0,0,0,0,0,0
2020-05-21,8,8,0,0,0,0,0,0,0
2020-05-22,28,19,0,0,0,0,0,0,0
2020-05-23,8,8,0,0,0,0,0,0,0
2020-05-24,36,29,0,0,0,0,0,0,0
2020-05-25,16,15,0,0,0,0,0,0,0
2020-05-26,16,10,0,0,0,0,0,0,0
2020-05-27,14,14,0,0,0,0,0,0,0
2020-05-28,18,16,0,0,0,0,0,0,0
2020-05-29,12,12,0,0,0,0,0,0,0
2020-05-30,16,10,0,0,0,0,0,0,0
2020-05-31,10,9,0,0,0,0,0,0,0
2020-06-01,16,14,0,0,0,0,0,0,0
2020-06-02,10,10,0,0,0,0,0,0,0
2020-06-03,20,19,0,0,0,0,0,0,0
2020-06-04,26,16,2,2,0,0,1,1,0
2020-06-05,18,16,0,0,0,0,0,0,0
2020-06-06,12,12,0,0,0,0,0,0,0
2020-06-07,18,9,2,2,0,0,0,0,0
2020-06-08,10,8,0,0,0,0,0,0,0
2020-06-09,20,18,0,0,0,0,0,0,0
2020-06-10,10,10,0,0,0,0,0,0,0
2020-06-11,6,6,0,0,0,0,0,0,0
2020-06-12,10,8,0,0,0,0,0,0,0
2020-06-13,2,2,0,0,0,0,0,0,0
2020-06-14,4,4,0,0,0,0,0,0,0
2020-06-15,22,9,0,0,0,0,0,0,0
2020-06-16,6,4,0,0,0,0,0,0,0
2020-06-17,10,4,0,0,0,0,0,0,0
2020-06-18,4,4,0,0,0,0,0,0,0
2020-06-19,8,6,0,0,0,0,0,0,0
2020-06-20,4,4,0,0,0,0,0,0,0
2020-06-22,12,9,0,0,0,0,0,0,0
2020-06-23,8,8,0,0,0,0,0,0,0
2020-06-24,6,6,2,2,0,0,0,0,0
2020-06-25,4,4,0,0,0,0,0,0,0
2020-06-26,12,11,0,0,0,0,0,0,0
2020-06-27,8,8,0,0,0,0,0,0,0
2020-06-28,20,4,0,0,0,0,0,0,0
2020-06-29,20,11,0,0,0,0,0,0,0
2020-06-30,12,8,0,0,0,0,0,0,0
2020-07-01,8,8,0,0,0,0,0,0,0
2020-07-02,2,2,0,0,0,0,0,0,0
2020-07-03,10,10,0,0,0,0,0,0,0
2020-07-04,2,2,0,0,0,0,0,0,0
2020-07-05,6,6,0,0,0,0,0,0,0
2020-07-06,34,6,0,0,0,0,0,0,0
2020-07-07,22,14,0,0,0,0,0,0,0
2020-07-08,8,6,0,0,0,0,0,0,0
2020-07-09,10,10,0,0,0,0,0,0,0
2020-07-10,2,2,0,0,0,0,0,0,0
2020-07-11,2,2,0,0,0,0,0,0,0
2020-07-12,6,6,0,0,0,0,0,0,0
2020-07-13,2,2,0,0,0,0,0,0,0
2020-07-14,10,8,0,0,0,0,0,0,0
2020-07-15,4,4,0,0,0,0,0,0,0
2020-07-16,2,2,0,0,0,0,0,0,0
2020-07-17,12,6,0,0,0,0,0,0,0
2020-07-18,2,2,0,0,0,0,0,0,0
2020-07-20,16,8,0,0,0,0,0,0,0
2020-07-21,8,8,0,0,0,0,0,0,0
2020-07-22,6,6,0,0,0,0,0,0,0
2020-07-24,6,4,0,0,0,0,0,0,0
2020-07-25,8,7,0,0,0,0,0,0,0
2020-07-26,6,6,0,0,0,0,0,0,0
2020-07-27,6,6,0,0,0,0,0,0,0
2020-07-28,8,7,2,2,0,0,0,0,0
2020-07-29,2,2,0,0,0,0,0,0,0
2020-07-30,10,8,0,0,0,0,0,0,0
2020-07-31,10,10,0,0,0,0,0,0,0
2020-08-03,8,7,0,0,0,0,0,0,0
2020-08-04,2,2,0,0,0,0,0,0,0
2020-08-05,4,4,0,0,0,0,0,0,0
2020-08-06,32,12,0,0,0,0,0,0,0
2020-08-07,8,7,0,0,0,0,0,0,0
2020-08-08,2,2,0,0,0,0,0,0,0
2020-08-09,26,11,0,0,0,0,2,2,0
2020-08-10,2,2,0,0,0,0,0,0,0
2020-08-11,2,2,0,0,0,0,0,0,0
2020-08-12,4,4,0,0,0,0,0,0,0
2020-08-13,10,10,0,0,0,0,0,0,0
2020-08-14,62,36,0,0,0,0,0,0,0
2020-08-15,4,3,0,0,0,0,0,0,0
2020-08-16,42,13,6,2,0,0,0,0,0
2020-08-17,10,8,0,0,0,0,0,0,0
2020-08-18,34,13,0,0,0,0,0,0,0
2020-08-19,4,4,0,0,0,0,0,0,0
2020-08-20,10,8,0,0,0,0,0,0,0
2020-08-21,6,6,0,0,0,0,0,0,0
2020-08-22,6,4,0,0,0,0,0,0,0
2020-08-23,6,6,0,0,0,0,0,0,0
2020-08-24,2,2,0,0,0,0,0,0,0
2020-08-26,6,6,0,0,0,0,0,0,0
2020-08-27,10,10,0,0,0,0,0,0,0
2020-08-28,16,12,0,0,0,0,0,0,0
2020-08-29,10,8,0,0,0,0,0,0,0
2020-08-30,6,6,0,0,0,0,0,0,0
2020-08-31,4,4,0,0,0,0,0,0,0
2020-09-01,4,4,0,0,0,0,0,0,0
2020-09-02,6,6,0,0,0,0,0,0,0
2020-09-03,2,2,0,0,0,0,0,0,0
2020-09-04,4,4,0,0,0,0,0,0,0
2020-09-05,2,2,0,0,0,0,0,0,0
2020-09-06,4,4,0,0,0,0,0,0,0
2020-09-07,16,9,0,0,0,0,0,0,0
2020-09-08,8,5,0,0,0,0,0,0,0
2020-09-09,10,8,0,0,0,0,0,0,0
2020-09-10,4,4,0,0,0,0,0,0,0
2020-09-11,48,9,0,0,0,0,0,0,0
2020-09-12,4,4,0,0,0,0,0,0,0
2020-09-13,4,4,0,0,0,0,0,0,0
2020-09-14,6,6,0,0,0,0,0,0,0
2020-09-15,4,4,0,0,0,0,0,0,0
2020-09-16,8,8,0,0,0,0,0,0,0
2020-09-18,6,2,0,0,0,0,0,0,0
2020-09-19,8,4,0,0,0,0,0,0,0
2020-09-20,2,2,0,0,0,0,0,0,0
2020-09-21,14,10,0,0,0,0,0,0,0
2020-09-22,4,4,0,0,0,0,0,0,0
2020-09-23,4,4,0,0,0,0,0,0,0
2020-09-24,16,16,2,2,0,0,0,0,0
2020-09-25,4,4,0,0,0,0,0,0,0
2020-09-26,8,8,0,0,0,0,0,0,0
2020-09-27,8,8,0,0,0,0,0,0,0
2020-09-28,6,6,0,0,0,0,0,0,0
2020-09-29,12,12,0,0,0,0,0,0,0
2020-09-30,10,10,0,0,0,0,0,0,0
2020-10-02,4,4,0,0,0,0,0,0,0
2020-10-03,4,4,0,0,0,0,0,0,0
2020-10-04,2,2,0,0,0,0,0,0,0
2020-10-05,2,2,0,0,0,0,0,0,0
2020-10-06,2,2,0,0,0,0,0,0,0
2020-10-07,20,9,4,3,0,0,0,0,0
2020-10-08,12,10,0,0,1,1,0,0,0
2020-10-09,14,14,0,0,0,0,0,0,0
2020-10-10,4,2,0,0,0,0,0,0,0
2020-10-11,10,10,0,0,0,0,0,0,0
2020-10-12,16,10,0,0,0,0,0,0,0
2020-10-14,8,6,0,0,0,0,0,0,0
2020-10-16,18,14,0,0,0,0,0,0,0
2020-10-17,4,4,0,0,0,0,0,0,0
2020-10-18,6,6,0,0,0,0,0,0,0
2020-10-19,8,6,0,0,0,0,0,0,0
2020-10-20,4,4,0,0,0,0,0,0,0
2020-10-21,8,6,0,0,0,0,0,0,0
2020-10-22,4,4,0,0,0,0,0,0,0
2020-10-23,14,11,0,0,0,0,3,1,0
2020-10-24,14,10,0,0,0,0,0,0,0
2020-10-25,8,7,0,0,0,0,0,0,0
2020-10-26,8,8,0,0,0,0,0,0,0
2020-10-27,2,2,0,0,0,0,0,0,0
2020-10-28,24,15,2,2,0,0,0,0,0
2020-10-29,2,2,0,0,0,0,0,0,0
2020-10-30,38,31,8,2,0,0,1,1,0
2020-10-31,6,6,0,0,0,0,0,0,0
2020-11-02,4,4,0,0,0,0,0,0,0
2020-11-03,6,6,0,0,0,0,0,0,0
2020-11-04,8,3,0,0,0,0,0,0,0
2020-11-05,4,4,2,2,0,0,0,0,0
2020-11-06,4,4,0,0,0,0,0,0,0
2020-11-07,2,2,0,0,0,0,0,0,0
2020-11-08,4,4,0,0,0,0,0,0,0
2020-11-09,14,14,0,0,0,0,0,0,0
2020-11-11,8,8,0,0,0,0,0,0,0
2020-11-12,4,4,0,0,0,0,0,0,0
2020-11-14,8,8,0,0,0,0,0,0,0
2020-11-15,6,6,0,0,0,0,0,0,0
2020-11-16,4,4,0,0,0,0,0,0,0
2020-11-17,8,8,0,0,0,0,0,0,0
2020-11-18,2,2,0,0,0,0,0,0,0
2020-11-19,8,8,0,0,0,0,0,0,0
2020-11-20,6,2,0,0,0,0,0,0,0
2020-11-21,8,8,0,0,0,0,0,0,0
2020-11-22,2,2,0,0,0,0,0,0,0
2020-11-24,4,4,0,0,0,0,0,0,0
2020-11-25,4,4,0,0,0,0,0,0,0
2020-11-26,8,4,0,0,0,0,0,0,0
2020-11-27,4,4,0,0,0,0,0,0,0
2020-11-28,12,12,0,0,0,0,0,0,0
2020-11-29,2,2,0,0,0,0,0,0,0
2020-11-30,4,4,0,0,0,0,0,0,0
2020-12-01,6,6,0,0,0,0,0,0,0
2020-12-02,10,8,0,0,0,0,0,0,0
2020-12-04,6,5,0,0,0,0,0,0,0
2020-12-05,2,2,0,0,0,0,0,0,0
2020-12-07,18,11,0,0,0,0,0,0,0
2020-12-08,8,8,0,0,0,0,0,0,0
2020-12-09,32,13,4,2,0,0,0,0,0
2020-12-10,2,2,0,0,0,0,0,0,0
2020-12-11,6,6,0,0,0,0,0,0,0
2020-12-12,16,4,0,0,0,0,0,0,0
2020-12-13,8,8,0,0,0,0,0,0,0
2020-12-14,4,4,0,0,0,0,0,0,0
2020-12-15,2,2,0,0,0,0,0,0,0
2020-12-17,2,2,0,0,0,0,0,0,0
2020-12-18,10,6,0,0,0,0,0,0,0
2020-12-19,6,6,0,0,0,0,0,0,0
2020-12-20,2,2,0,0,0,0,0,0,0
2020-12-21,2,2,0,0,0,0,0,0,0
2020-12-22,6,4,0,0,0,0,0,0,0
2020-12-23,2,2,0,0,0,0,0,0,0
2020-12-24,8,4,0,0,0,0,0,0,0
2020-12-25,2,2,0,0,0,0,0,0,0
2020-12-26,12,12,0,0,0,0,0,0,0
2020-12-27,4,4,0,0,0,0,0,0,0
2020-12-28,34,17,2,2,0,0,0,0,0
2020-12-29,10,6,2,2,0,0,0,0,0
2020-12-30,6,6,0,0,0,0,0,0,0
2020-12-31,6,4,0,0,0,0,0,0,0
2021-01-01,6,6,0,0,0,0,0,0,0
2021-01-02,2,2,0,0,0,0,0,0,0
2021-01-03,2,2,0,0,0,0,0,0,0
2021-01-04,8,6,0,0,0,0,0,0,0
2021-01-05,6,4,0,0,0,0,0,0,0
2021-01-06,6,6,0,0,0,0,0,0,0
2021-01-07,2,2,0,0,0,0,0,0,0
2021-01-09,2,2,0,0,0,0,0,0,0
2021-01-10,6,6,2,2,0,0,0,0,0
2021-01-11,6,6,0,0,0,0,0,0,0
2021-01-12,6,6,0,0,0,0,0,0,0
2021-01-13,2,2,0,0,0,0,0,0,0
2021-01-15,6,4,0,0,0,0,0,0,0
2021-01-16,2,2,0,0,0,0,0,0,0
2021-01-17,2,2,0,0,0,0,0,0,0
2021-01-18,2,2,0,0,0,0,0,0,0
2021-01-19,2,2,0,0,0,0,0,0,0
2021-01-20,2,2,0,0,0,0,0,0,0
2021-01-22,2,2,0,0,0,0,0,0,0
2021-01-23,4,4,0,0,0,0,0,0,0
2021-01-24,8,5,0,0,0,0,0,0,0
2021-01-25,8,6,0,0,0,0,0,0,0
2021-01-27,2,2,0,0,0,0,0,0,0
2021-01-28,4,4,0,0,0,0,0,0,0
2021-01-29,2,2,0,0,0,0,0,0,0
2021-01-31,4,4,0,0,0,0,0,0,0
2021-02-03,6,4,0,0,0,0,0,0,0
2021-02-05,6,5,0,0,0,0,0,0,0
2021-02-06,16,9,0,0,0,0,0,0,0
2021-02-07,2,2,0,0,0,0,0,0,0
2021-02-08,24,5,0,0,0,0,0,0,0
2021-02-09,4,2,0,0,0,0,0,0,0
2021-02-12,4,4,2,2,0,0,0,0,0
2021-02-13,8,4,0,0,0,0,0,0,0
2021-02-14,2,2,0,0,0,0,0,0,0
2021-02-15,2,2,0,0,0,0,0,0,0
2021-02-16,2,2,0,0,0,0,0,0,0
2021-02-17,2,2,0,0,0,0,0,0,0
2021-02-18,14,7,4,2,0,0,0,0,0
2021-02-20,4,4,0,0,0,0,0,0,0
2021-02-22,50,15,8,4,0,0,0,0,0
2021-02-23,16,9,2,2,0,0,0,0,0
2021-02-24,8,6,4,2,0,0,0,0,0
2021-02-25,12,12,0,0,0,0,0,0,0
2021-02-26,10,4,2,2,0,0,0,0,0
2021-02-28,4,4,0,0,0,0,0,0,0
2021-03-01,400,26,8,4,0,0,0,0,0
2021-03-02,122,31,10,6,0,0,0,0,0
2021-03-03,10,2,0,0,0,0,0,0,0
2021-03-04,2,2,0,0,0,0,0,0,0
2021-03-05,6,4,0,0,0,0,0,0,0
2021-03-07,2,2,0,0,0,0,0,0,0
2021-03-08,4,4,0,0,0,0,0,0,0
2021-03-09,8,4,0,0,0,0,0,0,0
2021-03-10,2,2,0,0,0,0,0,0,0
2021-03-11,10,5,0,0,0,0,0,0,0
2021-03-12,6,6,0,0,0,0,0,0,0
2021-03-13,8,6,0,0,0,0,0,0,0
2021-03-16,6,4,0,0,0,0,0,0,0
2021-03-17,6,6,0,0,0,0,0,0,0
2021-03-18,2,2,0,0,0,0,0,0,0
2021-03-19,2,2,0,0,0,0,1,1,0
2021-03-20,4,4,0,0,0,0,0,0,0
2021-03-21,8,8,0,0,0,0,0,0,0
2021-03-23,8,8,0,0,0,0,0,0,0
2021-03-24,12,8,0,0,0,0,0,0,0
2021-03-25,10,8,0,0,0,0,0,0,0
2021-03-26,4,4,0,0,0,0,0,0,0
2021-03-27,8,8,0,0,0,0,0,0,0
2021-03-28,2,2,0,0,0,0,0,0,0
2021-03-29,32,18,2,2,0,0,0,0,0
2021-03-30,10,9,0,0,0,0,0,0,0
2021-03-31,134,18,8,2,0,0,0,0,0
2021-04-01,104,23,8,2,0,0,0,0,0
2021-04-02,306,40,22,9,2,1,0,0,0
2021-04-03,218,25,38,3,5,1,1,1,0
2021-04-04,56,14,6,2,0,0,0,0,0
2021-04-05,6,6,0,0,0,0,0,0,0
2021-04-06,72154,56164,4586,3099,70,26,160,134,1
2021-04-07,44290,35409,2084,1630,28,17,123,112,1
2021-04-08,6022,4815,324,270,5,3,22,21,0
2021-04-09,1090,900,76,65,0,0,4,4,0
2021-04-10,484,413,42,37,0,0,1,1,0
2021-04-11,394,302,32,28,1,1,1,1,0
2021-04-12,612,412,38,32,0,0,3,3,0
2021-04-13,502,358,38,36,0,0,2,2,0
2021-04-14,256,201,30,24,0,0,0,0,0
2021-04-15,486,319,40,31,0,0,1,1,0
2021-04-16,236,176,12,12,0,0,0,0,0
2021-04-17,192,163,10,10,0,0,1,1,0
2021-04-18,150,99,4,4,1,1,0,0,0
2021-04-19,260,166,18,16,0,0,0,0,0
2021-04-20,282,239,10,10,2,1,1,1,0
2021-04-21,146,117,6,6,0,0,2,1,0
2021-04-22,214,148,28,25,2,1,3,1,0
2021-04-23,130,109,4,4,0,0,0,0,0
2021-04-24,124,88,6,6,1,1,0,0,0
2021-04-25,122,96,12,12,0,0,0,0,0
2021-04-26,204,158,8,5,1,1,4,4,0
2021-04-27,168,112,8,8,0,0,1,1,0
2021-04-28,148,99,12,10,0,0,0,0,0
2021-04-29,128,74,2,2,0,0,0,0,0
2021-04-30,98,82,2,2,0,0,0,0,0
2021-05-01,78,67,2,2,0,0,0,0,0
2021-05-02,78,65,4,4,0,0,0,0,0
2021-05-03,30,28,0,0,0,0,1,1,0
2021-05-04,74,65,8,8,0,0,0,0,0
2021-05-05,122,80,14,10,0,0,0,0,0
2021-05-06,164,99,12,12,0,0,0,0,0
2021-05-07,176,90,2,2,0,0,0,0,0
2021-05-08,124,103,6,6,1,1,1,1,0
2021-05-09,70,54,0,0,1,1,0,0,0
2021-05-10,88,70,8,8,0,0,0,0,0
2021-05-11,178,130,20,16,0,0,1,1,0
2021-05-12,86,69,2,2,0,0,1,1,0
2021-05-13,134,90,10,10,0,0,0,0,0
2021-05-14,176,118,13,13,0,0,0,0,0
2021-05-15,74,51,4,4,0,0,1,1,0
2021-05-16,44,36,6,6,0,0,0,0,0
2021-05-17,70,54,4,4,0,0,0,0,0
2021-05-18,62,39,4,4,0,0,1,1,0
2021-05-19,86,49,4,2,0,0,0,0,0
2021-05-20,50,43,0,0,0,0,0,0,0
2021-05-21,82,54,4,4,0,0,0,0,0
2021-05-22,48,41,4,3,0,0,0,0,0
2021-05-23,38,29,4,2,0,0,0,0,0
2021-05-24,14006,11095,1014,825,0,0,252,231,1
2021-05-25,7190,6015,494,441,0,0,192,174,0
2021-05-26,1168,963,106,91,0,0,27,27,0
2021-05-27,724,573,42,42,0,0,20,17,0
2021-05-28,368,276,32,27,0,0,7,7,0
2021-05-29,100,91,2,2,0,0,0,0,0
2021-05-30,142,109,4,2,0,0,7,5,0
2021-05-31,234,191,16,14,0,0,4,4,0
2021-06-01,188,135,8,8,0,0,4,3,0
2021-06-02,138,110,26,20,0,0,5,5,0
2021-06-03,82,64,6,6,0,0,0,0,0
2021-06-04,136,103,4,4,0,0,1,1,0
2021-06-05,572,497,32,32,0,0,13,13,0
2021-06-06,92,66,8,8,0,0,0,0,0
2021-06-07,140,103,10,10,0,0,1,1,0
2021-06-08,78,54,2,2,0,0,0,0,0
2021-06-09,192,118,8,8,0,0,3,3,0
2021-06-10,80,65,4,4,0,0,1,1,0
2021-06-11,74,42,2,2,0,0,0,0,0
2021-06-12,36,30,0,0,0,0,0,0,0
2021-06-13,56,47,2,2,1,1,1,1,0
2021-06-14,58,38,4,4,0,0,1,1,0
2021-06-15,114,75,8,8,0,0,0,0,0
2021-06-16,76,58,8,8,0,0,1,1,0
2021-06-17,74,58,4,4,0,0,1,1,0
2021-06-18,110,68,2,2,1,1,0,0,0
2021-06-19,44,38,4,4,0,0,0,0,0
2021-06-20,182,153,12,7,0,0,3,3,0
2021-06-21,118,85,8,8,0,0,0,0,0
2021-06-22,110,68,8,6,1,1,0,0,0
2021-06-23,110,77,8,8,0,0,0,0,0
2021-06-24,62,49,2,2,0,0,0,0,0
2021-06-25,102,61,8,7,0,0,0,0,0
2021-06-26,80,47,2,2,0,0,0,0,0
2021-06-27,104,81,8,6,0,0,0,0,0
2021-06-28,72,62,4,4,0,0,0,0,0
2021-06-29,116,70,4,4,0,0,0,0,0
2021-06-30,78,61,2,2,0,0,1,1,0
2021-07-01,46,32,2,2,1,1,0,0,0
2021-07-02,56,38,6,4,0,0,0,0,0
2021-07-03,118,62,6,6,1,1,0,0,0
2021-07-04,70,57,4,2,0,0,0,0,0
2021-07-05,64,56,4,4,0,0,0,0,0
2021-07-06,42,26,0,0,0,0,0,0,0
2021-07-07,98,65,0,0,0,0,1,1,0
2021-07-08,82,56,4,4,0,0,1,1,0
2021-07-09,142,76,10,8,0,0,1,1,0
2021-07-10,34,32,0,0,0,0,0,0,0
2021-07-11,50,38,2,2,0,0,0,0,0
2021-07-12,94,70,4,4,0,0,0,0,0
2021-07-13,76,53,4,4,0,0,0,0,0
2021-07-14,54,45,2,2,0,0,0,0,0
2021-07-15,136,78,10,10,1,1,1,1,0
2021-07-16,102,63,6,6,0,0,0,0,0
2021-07-17,62,43,4,4,0,0,1,1,0
2021-07-18,68,58,2,2,0,0,0,0,0
2021-07-19,88,69,2,2,0,0,0,0,0
2021-07-20,188,100,12,10,0,0,0,0,0
2021-07-21,106,72,2,2,0,0,0,0,0
2021-07-22,198,52,20,8,3,1,0,0,0
2021-07-23,98,53,10,10,0,0,1,1,0
2021-07-24,72,56,2,2,0,0,0,0,0
2021-07-25,86,56,4,4,0,0,1,1,0
2021-07-26,1000,656,34,31,6,5,3,3,2
2021-07-27,466,283,36,28,4,4,0,0,0
2021-07-28,13236,10035,844,671,168,133,47,44,1
2021-07-29,11806,8728,672,546,142,115,41,33,0
2021-07-30,5268,3085,276,242,74,57,20,19,0
2021-07-31,10846,7042,532,427,71,45,43,31,1
2021-08-01,5432,4005,190,174,16,10,24,21,0
2021-08-02,766,613,40,34,4,3,5,3,0
2021-08-03,276,209,12,10,1,1,2,2,0
2021-08-04,138,98,8,6,0,0,1,1,0
2021-08-05,144,92,16,15,0,0,0,0,0
2021-08-06,68,59,2,2,0,0,0,0,0
2021-08-07,92,69,2,2,2,2,1,1,0
2021-08-08,76,56,2,2,0,0,0,0,0
2021-08-09,62,42,4,4,1,1,1,1,0
2021-08-10,28,28,0,0,0,0,0,0,0
2021-08-11,50,42,2,2,0,0,2,2,0
